# Community catalog for Cursors: cursor sets on rw-designer.com, most downloaded first.
# Generated by tools/update-catalog.ps1 on 2026-09-15 from 11552 sets. It lists names and links only;
# the app downloads a set from rw-designer.com when it is clicked. Each set is licensed by its author, as shown on its page.
slug	name	author	downloads	license	cursors	roles	animated	toprated	arrow	link	text	busy
reaver-pack-valorant	Reaver Pack - Valorant	ATT	32150	Custom (contact author)	17	17	16	1	157513	157528	157518	157516
blood-splatter	Blood Splatter	glitchy	32017	Attribution Required (CC by)	15	13	0	0	2367	2362	2369	2359
diamond-swords	Diamond Sword v2.0 (My Version)	0Emerald0	31858	Release to Public Domain	15	15	14	0	88205	88219	88210	88208
angry-birds	Angry Birds	Sirea	31598	Attribution Required (CC by)	16	15	9	1	28647	28661	28652	28650
halo-energy-sword	Halo Energy Sword	Teddy	31573	Custom (contact author)	15	15	15	1	24344	24350	24356	24346
enigma-godswords	Runescape God Swords	enigma	31467	Attribution Required (CC by)	4	0	0	0	3253			
electric-cyan-blue-fire	Electric Cyan Blue Fire	TheCurGuy	31335	Release to Public Domain	17	15	17	1	136918	136922	136931	136919
diamond-tools-cursors	Minecraft - Diamond Tools	Ultra Ninja	30811	Release to Public Domain	17	15	4	0	39219	39234	39224	39222
cathead-black	CatHead_Black	SK	30751	NonCommercial Usage Only (CC nc)	15	15	9	1	82238	82236	82240	82230
donutskawaiimd	Donuts Kawaii	ツ☪ NaLexnu ♡♥	30579	Attribution+NonCommercial (CC by-nc)	24	17	7	1	107874	107868	107888	107898
mac-os	Mac OS	ghostgraphic	30452	Release to Public Domain	25	15	12	1	103690	103689	103711	103694
aystics-glacier	Aystics - Glacier	AJaxx	30427	Custom (contact author)	23	15	11	0	94259	92263	94262	92256
electric-3	Electric	ARGs	30380	Release to Public Domain	11	3	11	1	173115	173116	173114	
flame	flame	joel61	30185	Attribution Required (CC by)	14	2	14	0	8745			
advanced	Gun Advanced	The Sword of the Heart	30137	Attribution Required (CC by)	15	13	5	1	1985	1998	1995	1994
runescape-dragon2h	Runescape Dragon2H	PhilEvil	29917	Attribution Required (CC by)	5	4	0	0	1826	1829		
undertale	Undertale	Veraxiel	29707	Attribution Required (CC by)	15	15	11	1	80886	80925	80932	80898
fluoro	Fluoro	stegarex	29460	Release to Public Domain	20	1	0	0	12924			
greeney	Greeny	Kizzume	29220	Attribution Required (CC by)	13	13	0	0	2384			2389
strawberry-hello-kitty	Strawberry Hello Kitty	Britichi6	29136	Release to Public Domain	16	15	2	0	186081	186457	186167	186165
dancing-banana-v64	Peanut Butter Jelly Time (Dancing Banana)	Virum64	28964	Release to Public Domain	15	15	13	1	34003	34014	34015	34006
legend-of-zelda	Legend of Zelda	Raythar	28917	Attribution Required (CC by)	42	6	13	0	1116	1153		1113
pokemon-4	pokemon animated sprite	kmy12083	28774	Release to Public Domain	57	2	57	1	58264			
minecraft-2019	Minecraft 2019	CreativeGamer03	28108	Attribution Required (CC by)	5	5	2	0	128777	128774	128856	128775
kawaiicutepusheen	Kawaii Pusheen Cat	CutePusheenLove	27973	Release to Public Domain	21	17	21	1	214030	214208	214033	214204
miku-chan	Miku chan	RyanKun	27972	Release to Public Domain	3	0	3	0	67200			
my-custom-cursors-aero-red-and-b	Red and Black Aero	The_Savveir	27967	Release to Public Domain	14	14	2	1	50403	50407	50414	50404
iouki	FIRE ELECTRICA	bouderbabari	27948	Release to Public Domain	9	1	9	0	20406			
hello-kitty-1	Hello Kitty	niyah <3	27943	Release to Public Domain	4	0	2	1	99971			
tnt-black	TnT - Black ⚪	AJaxx	27885	Custom (contact author)	17	15	16	1	122698	122704	122708	122697
win10-yellow-highlight	Original Windows 10 Highlighted	darix555	27829	Release to Public Domain	17	14	2	1	152509	152521	152560	152512
rainbow-26	Rainbow	NamGaming	27701	Attribution Required (CC by)	15	15	7	1	172143	172157	172148	172145
plittleflower-mimidestino	Cute kawaii Pink Little Flower	ツ☪ NaLexnu ♡♥	27393	Attribution+NonCommercial (CC by-nc)	18	17	6	1	93996	93994	93998	93988
swordcollection	Swords	Mr. Zidgel	27269	Attribution Required (CC by)	4	4	4	1	3249	3236		3234
catpaw-white	CatPaw_White	SK	27204	Attribution+NonCommercial (CC by-nc)	15	15	8	0	82115	82131	82122	82212
emojis	Emojis!!!	OwlCityLover!!!	27124	Custom (contact author)	16	1	2	0	71650			71650
ubuntu	Ubuntu	thekittyperson	26950	Free Art (copyleft)	15	15	2	1	88790	88805	88796	88793
delta-neon-green	Delta Neon Green	RIDDLER	26665	Custom (contact author)	19	15	2	1	153909	153925	153916	155281
minecraft-16	MINECRAFT ENCHANTED ITEMS 2021	BAZZI	26658	Release to Public Domain	32	5	31	1	170922	170946	172053	170921
bended-glass	Bended glass	Plokmijn	26208	Attribution Required (CC by)	15	15	13	0	3840	3854	3845	3843
mixed-color	mixed color	QUEEN	25919	Release to Public Domain	17	2	0	0	140789			
stickman	StickDude	Mr. Zidgel	25842	Attribution Required (CC by)	11	3	11	0	3405			
redset	Red Set	FerrariMan	25786	Attribution Required (CC by)	15	0	0	0	1263			
bunniesandstrawberriesmd	Kawaii Bunny Bunnies and strawberries	ツ☪ NaLexnu ♡♥	25775	Attribution+NonCommercial (CC by-nc)	29	17	19	1	159847	159843	159853	159833
among-us	Among Us	floofyneko69	25696	Release to Public Domain	17	17	0	1	141993	142007	141998	141996
halo-weapons	Halo 3 weapons	jpgarb	25654	Attribution Required (CC by)	6	1	0	0	7297			
windows-11-light-theme	Windows 11 Light Theme	GeorgiosNexus	25651	Release to Public Domain	17	15	2	1	169979	169989	169983	169981
rw-blue-silver	RealWorld 3D Blue-Silver	Vlasta	25637	Attribution Required (CC by)	15	15	3	1	1	15	6	3
opensuse-oxygen	Oxygen-White	Erik	24870	Free Art (copyleft)	15	15	2	1	25472	25486	25477	25475
macos	MacOs	Lihpe25	24794	Release to Public Domain	18	15	2	0	158333	158347	158338	158336
arrow-ball-set	Arrow Ball	Troy	24690	Attribution Required (CC by)	16	3	16	1	3577			
windows-10-aero-black-1	Windows 10 Aero Black	­	24628	Release to Public Domain	51	17	6	1	157091	157100	157142	157130
despicable-me-minion	MinION	HusenPo	24516	Release to Public Domain	18	15	18	0	67275	67274	67276	67269
gold-orb	Gold Orb	dwaxe	24431	Attribution Required (CC by)	14	14	14	1	970	969	976	
purple-glowing	Purple Glowing	Diamond	24416	Release to Public Domain	17	17	17	1	156288	156329	156293	156291
bear	Teddy Bear	The Sword of the Heart	24403	Attribution Required (CC by)	15	13	9	0	2098	2109	2106	2112
hu-tao	Hu Tao	LisSweetie	24398	Attribution Required (CC by)	42	15	17	0	165520	165558	165532	165527
kasane-teto	Kasane Teto	Aisen Ranch	24347	Attribution+NonCommercial (CC by-nc)	18	15	16	1	211410	211427	211415	211413
mac-os-mouse-pointers-awsome	Mac OS (All cursers)	yellowwinner	24319	Release to Public Domain	15	15	2	1	48634	48366	48358	48356
rainbowglow	RainbowGlow	Shira	24211	Attribution Required (CC by)	5	3	5	0	7401	7403		7402
liyanado-s-elec-zip	Flammable electric	♠♣♥♦Liyan Graphicsツ	24145	Release to Public Domain	9	1	9	0	163446			
bgaero	Black-Green Aero	The Sword of the Heart	23970	Attribution Required (CC by)	15	11	2	1	5161	5164		5175
8-bit-weapons	8-Bit Weapon	SYNTHCRѺ	23969	Custom (contact author)	18	1	0	1	46886			
assasins-creed-black-negro	Assasins creed Black/Negro	spiderkid	23933	Release to Public Domain	15	0	2	0	28469			
aystics-electric	Aystics - Electric	AJaxx	23817	Custom (contact author)	23	15	11	1	94242	92358	94245	92351
highlight-yellow-10	Highlight Yellow 10	RIDDLER	23701	Custom (contact author)	17	17	2	0	158086	158107	158091	158089
3d-red	3D Red	Ed_Crash	23595	Attribution Required (CC by)	15	15	2	0	4108	4121	4124	4115
windows-10	Windows 10	wail	23513	Release to Public Domain	4	4	1	0	113868	113869		
memes-faces-v64	Memes Faces	Virum64	23147	Release to Public Domain	15	0	0	1	37887			
spinning-fidgets	Spinning Fidgets	Censor_Not	22891	Release to Public Domain	28	2	20	1	100235			
pinkneonglassmd	Pink Neon Glass	ツ☪ NaLexnu ♡♥	22862	Custom (contact author)	19	17	3	1	164918	164913	164921	164919
almost-electric	Almost Electric	Censor_Not	22496	Release to Public Domain	18	15	18	1	101946	101944	101952	101941
flowing-transparent-rainbow	Flowing Transparent Rainbow	winger	22477	Attribution Required (CC by)	13	9	11	0	16762			16778
valorant-prism-color	Valorant Prism Color	nightklp	22442	Release to Public Domain	19	17	10	1	156744	156758	156749	156747
default-windows-10	Default Windows 10	eough	22227	Release to Public Domain	3	3	0	0	139827	139826	139828	
embossed	Embossed	oneloneman	22186	Attribution Required (CC by)	6	6	3	1	7825	7830		7828
tron-cursors	Tron	JDDellGuy	22082	Custom (contact author)	16	15	16	1	20550	20548	20552	20542
dove	Dove	The Sword of the Heart	22075	Attribution Required (CC by)	15	13	10	0	1909	1901	1905	1915
kawaiilitbearmimidestino	Kawaii Cute Little Bear	ツ☪ NaLexnu ♡♥	22035	Release to Public Domain	18	17	6	1	94624	94622	94626	94616
pink-bow-mimi-destino	Pink Bow (Lazo Rosa)	ツ☪ NaLexnu ♡♥	21988	Custom (contact author)	17	17	17	1	93414	93412	93416	93406
rainbow-scheme	Rainbow Scheme	The Professional with Standards	21953	Attribution Required (CC by)	15	15	2	1	63921	63935	63923	63926
circuit-board	Circuit	SYNTHCRѺ	21882	Custom (contact author)	20	15	20	1	42655	42669	42660	42658
ghostglow	GhostGlow	Shira	21790	Attribution Required (CC by)	8	3	4	0	7194	7193		7172
bunnysparkle	Sparkly Bunny	Lights	21774	Release to Public Domain	15	15	14	1	101114	101112	101119	101106
trans	Windows Transparent	The Sword of the Heart	21577	Attribution Required (CC by)	15	10	0	0	2330		2319	2331
minecraft-full	Minecraft Full	ETHANWEEGEE	21512	Release to Public Domain	21	15	4	0	77518	77521	79252	79345
metal-arrow	Metal Arrow	Omelet	21469	Release to Public Domain	10	10	10	0	39718	39721	39731	39722
purpleneonglassmd	Purple Neon Glass	ツ☪ NaLexnu ♡♥	21409	Attribution+NonCommercial (CC by-nc)	20	17	3	1	164440	164435	164444	164439
oxygen-zion	Oxygen Zion	Erik	21215	Free Art (copyleft)	15	15	2	1	27268	27283	27273	27271
rainbow-9	Neon Rainbow	nibbler	21155	NonCommercial Usage Only (CC nc)	113	15	9	0	88008	88032	88090	88007
kunai-naruto-minato-shuriken-dag	Minato Namikaze Kunai Pack	xtian.el	21072	Release to Public Domain	18	16	16	1	159802	159800	159808	159860
delta-neon-white	Delta Neon White	RIDDLER	20981	Custom (contact author)	19	15	0	0	155344	155362	155353	155350
black-redglow	Black&RedGlow	Shira	20941	Attribution Required (CC by)	10	3	10	0	7365	7381		7366
heart-fox	Heart Fox	ツ☪ NaLexnu ♡♥	20894	Attribution+NonCommercial (CC by-nc)	26	17	20	1	120235	120233	120238	120227
steampunk-cursors	Steampunk	JDDellGuy	20851	Release to Public Domain	15	15	15	1	27174	27185	27188	27179
nyan	Nyan The Cat	Daniel W.	20836	Release to Public Domain	15	15	6	0	34833	34837	34843	34834
my-minecraft-mouse	My Minecraft Mouse	Minecraft2.0	20787	Release to Public Domain	5	0	4	1	180180			
llx-aero-deep-blue	LLX Aero_Deep_Blue	RIDDLER	20712	Release to Public Domain	15	15	2	1	108843	108857	108848	108846
gray-crystal	Gray	Plokmijn	20687	Attribution Required (CC by)	9	9	9	0	3775	3782	3783	3777
transparent-rainbow	Transparent Rainbow	winger	20684	Release to Public Domain	21	11	17	0	15987		16029	16004
sanrio-my-melody-pink	Sanrio my melody pink	goat	20643	Release to Public Domain	15	14	14	1	173826	173824	173828	173818
minecraft-stuff	Minecraft Stuff	MrEidu	20640	Release to Public Domain	6	6	4	1	199185	199186		199187
minecraft-netherite	Minecraft Netherite Edition (REWORKED)	Nvzalex	20566	Release to Public Domain	17	17	4	0	169964	232602	232595	169967
tokyo-ghoul	Ken Kaneki	Ceemo	20522	Release to Public Domain	15	15	14	1	125279	125275	125280	125272
naruto-1	Naruto #1	Vickvvy	20490	Attribution+NonCommercial (CC by-nc)	10	0	0	0	105093			
flames	Flames	The Sword of the Heart	20457	Attribution Required (CC by)	14	10	0	0	2445	2459	2451	2447
blue-advanced	Blue Advanced	that guy	20392	Release to Public Domain	15	15	15	1	79754	79768	79759	79757
freaky-stalkers-revenge	Freaky Stalkers Revenge	Acrux	20378	Custom (contact author)	19	15	18	1	84920	84917	84923	84910
redglass	Red Glass Amaranth	Fythring	20200	Attribution Required (CC by)	14	13	13	0	2290	2298	2301	2293
mac	Mac Aero	Data Dude	20167	Attribution Required (CC by)	20	15	7	0	2048	2059	2064	2049
prism	Prism	Wish I could delete this account	20113	Attribution+NonCommercial (CC by-nc)	15	15	15	1	118216	118217	118221	118219
fgtasb-pink-hearts	raw3xd Pink Heart	raw3xd	19981	Attribution+NonCommercial (CC by-nc)	17	17	3	1	187379	187376	187382	187370
fiery	Fiery	Huh_	19934	Release to Public Domain	17	17	17	1	153350	153359	153364	153352
xiao-yaksha	Xiao Yaksha	LisSweetie	19907	Attribution Required (CC by)	52	15	21	1	164052	164102	164064	164059
alan-becker-logo-cusors	Alan Becker logo	Diamond	19874	Release to Public Domain	17	17	2	0	169208	169209	169216	169213
win-10-highlighted-default	Win 10 Highlighted Default	Mahdi	19726	Free Art (copyleft)	10	10	0	0	114819	114822		
cross-3	CROSS	iamiafo	19717	NonCommercial Usage Only (CC nc)	4	1	0	1	166780			
mlg-and-meme	MLG and Meme	Dr_Awesomeface_the_MLGPro	19652	Release to Public Domain	8	8	3	1	71614	71617	71613	71611
littlebunny2-mimidestino	Kawaii Little Bunny	ツ☪ NaLexnu ♡♥	19466	Attribution+NonCommercial (CC by-nc)	18	17	4	1	94536	94545	94538	94547
pinkiest-heart-md	Kawaii Pink Heart	ツ☪ NaLexnu ♡♥	19410	Attribution+NonCommercial (CC by-nc)	23	17	18	1	174845	174840	174848	174833
minecraft-netherite-1	Minecraft Netherite	jaqna	19341	Attribution+NonCommercial (CC by-nc)	17	14	4	0	191362	191377	191368	191366
another-cool-set	Earth Set	dwaxe	19189	Attribution Required (CC by)	15	13	13	1	2144	2153	2151	
handminniepink-mimi-destino	Cute Hand Minnie Pink Bow	ツ☪ NaLexnu ♡♥	19176	Attribution+NonCommercial (CC by-nc)	20	17	11	1	93682	93680	93684	93674
rgb-rainbow	RGB Rainbow	♣Aworld♣	18941	Release to Public Domain	17	17	9	1	168606	168603	168609	168597
transparent-circle	Transparent Circle	absterninja	18852	Release to Public Domain	6	1	0	0	24819			
kirbo	kirby	yay	18843	Custom (contact author)	10	10	8	1	135593	135594	135629	135592
sonic-cursors	Sonic Characters	nike nut	18666	Attribution Required (CC by)	11	0	0	0	5447			
handstarkcsmimidestino	Kawaii Cute Sweet Hand Star	ツ☪ NaLexnu ♡♥	18637	Attribution+NonCommercial (CC by-nc)	15	15	3	1	164532	164530	164534	164524
hands	HANDS	juanello	18575	Release to Public Domain	3	3	0	0	23449	23450		23451
cross-1	Cross	nibbler	18482	Attribution+NonCommercial (CC by-nc)	15	15	12	1	94071	94085	94076	94074
minecraft-11	Minecraft	PieMan3259	18452	Release to Public Domain	14	14	8	0	92747	92748	92775	92757
gunsmr-bs	GOLDEN GUN+crosshairs+link select	Mr.BS	18361	Release to Public Domain	6	2	4	0	23292	23291		
fireblaze	FireBlaze	TCGM	18344	Attribution Required (CC by)	5	5	3	1	5849	5863		5851
green-neon-laser-themecursors	Green Neon Laser Glow Simple Stylish	lifeisillusion	18337	Custom (contact author)	16	16	2	1	139750	139764	139755	139753
highlight-gold-10	Highlight Gold 10	RIDDLER	18313	Custom (contact author)	17	17	2	1	158389	158404	158394	158392
rainbow-by-piggeh	Rainbow	thekittyperson	18313	Release to Public Domain	16	15	16	0	60134	60148	60139	60137
green-highlight	Green Highlight	Zelphis	18289	Release to Public Domain	10	10	1	1	101989	101991	101992	101990
macos-mini-pack	MacOS mini pack	M9ICH	18278	Release to Public Domain	17	5	6	1	170758	170762	170765	170771
kawaiibluekittymd	Kawaii Blue Kitty Cat kitten	ツ☪ NaLexnu ♡♥	18199	Custom (contact author)	19	17	7	1	181117	181114	181120	181108
battlefield-3-full-set	Battlefield 3	Teddy	18167	Release to Public Domain	15	15	2	1	45557	45562	61549	45559
original-maplestory-white	Original MapleStory	Bubblez	18163	Release to Public Domain	15	13	7	0	35050	35054		35051
crosshair-green	Crosshair	morten8035	18128	Attribution Required (CC by)	14	1	0	1	1071			
cursor-cursors-animated-pack-1	Pink Heart	juanello	18128	Release to Public Domain	14	14	14	0	32366	32368	32377	32367
advanced-red	Advanced Red	ズｻﾑδ丂	18087	Release to Public Domain	19	15	12	1	92439	92456	92445	92442
blue-glows	(Blue) Glows	abdillahindo	17956	Release to Public Domain	23	15	2	1	141672	141694	141678	141675
fps-view-handgun	M9 Gun	RK	17734	NonCommercial Usage Only (CC nc)	17	15	7	1	69739	69736	69741	69759
chamber-valorant	Chamber - Valorant	ATT	17680	Custom (contact author)	17	17	15	1	178265	178283	178272	178268
minecraft-diamond	Minecraft diamond	🖱Cursor Mania🖱	17469	Custom (contact author)	15	13	15	1	194775	194789	194780	194778
jett-kunai-valorant	Jett Kunai - Valorant	ATT	17332	Custom (contact author)	17	17	16	1	179225	179239	179230	179228
